dataset_id,run_id,algo,ami,n_clusters,dbcv_status,noise_fraction,status,dbcv,s_dbw
img_fashion_mnist_5k,9381fbddb6c5,GaussianMixture,0.5753440639193024,20,ok,0.0,ok,-0.438420890611822,-0.9016413094207055
img_fashion_mnist_5k,8ec393598948,GaussianMixture,0.0328982230912152,2,ok,0.0,ok,-0.6300961688362362,-0.9466585846319316
img_fashion_mnist_5k,77e145ffcc55,GaussianMixture,0.2913824340593645,3,ok,0.0,ok,-0.6861655398447859,-0.9460516390171233
img_fashion_mnist_5k,632568e85407,GaussianMixture,0.4232796852277731,5,ok,0.0,ok,-0.4853857821462222,-0.9034834607658723
img_fashion_mnist_5k,fa9612cfa871,GaussianMixture,0.4771999967638212,7,ok,0.0,ok,-0.49973418103334394,-0.8887292213126434
img_fashion_mnist_5k,3d72e70b09e3,GaussianMixture,0.4612627285691806,10,ok,0.0,ok,-0.4392000195440184,-0.880341109824772
img_fashion_mnist_5k,45c510f16843,GaussianMixture,0.5163531603041147,15,ok,0.0,ok,-0.38327527817726703,-0.8804166464539043
img_fashion_mnist_5k,27a2752a569f,GaussianMixture,0.5184416259597254,20,ok,0.0,ok,-0.3957577827301153,-0.8428185502577171
img_fashion_mnist_5k,4ec824c366d4,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,4555573328fc,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,0f46e0814abc,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,759f97a6695c,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,9cd81f07f9eb,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,bb5d6442dae0,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,c610648f3a0b,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,d9a6e957a479,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,e0981ae1c5a2,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,08e381bd46b1,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,f7183f4c1fed,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,7c2e8cd4a56d,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,07ebbef7de3c,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
img_fashion_mnist_5k,db49059653de,DBSCAN,0.0,0,all_noise,1.0,all_noise,,
