dataset_id,algo,hyperparams_json,run_id,ami,silhouette,calinski_harabasz,davies_bouldin,n_clusters_found,noise_fraction,runtime_sec
synth_imb_1_1_5_2d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.6604426168345946,0.442702392874386,1101.7995784293182,0.6721887367276392,5,0.0,0
synth_imb_1_1_5_2d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.5383708068088935,0.36021625633376686,963.0927525514193,0.882780978999465,7,0.0,0
synth_imb_1_1_5_2d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.5112598117447233,0.35709661749328886,1080.900285786069,0.8320364722440686,10,0.0,0
synth_imb_1_1_5_2d,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.4374668653430452,0.3410694702235779,1026.4372628650733,0.8672829745362329,15,0.0,0
synth_imb_extreme_5d,SpectralClustering,"{""n_clusters"": 2, ""affinity"": ""nearest_neighbors""}",c5dfd3221b79,0.5134776941587987,0.5344535336749965,981.4259021602861,0.6035669964152086,2,0.0,0
synth_imb_extreme_5d,SpectralClustering,"{""n_clusters"": 3, ""affinity"": ""nearest_neighbors""}",e3ae029f4d54,0.8678954261726171,0.5417156871783827,811.3993382165864,0.9449002719268643,3,0.0,0
synth_imb_extreme_5d,SpectralClustering,"{""n_clusters"": 5, ""affinity"": ""nearest_neighbors""}",98d2a79e4c00,0.7400456697599803,0.24967344109557693,1930.2611984803505,1.652914299659304,5,0.0,0
synth_imb_extreme_5d,SpectralClustering,"{""n_clusters"": 7, ""affinity"": ""nearest_neighbors""}",0481ef8f35a2,0.7163749863164657,0.2701931929274792,2569.772161855866,1.2798844923861683,7,0.0,0
synth_imb_extreme_5d,SpectralClustering,"{""n_clusters"": 10, ""affinity"": ""nearest_neighbors""}",9a585386bc6d,0.6335634273001487,0.18657323410651425,1990.1153014631393,1.4988948777215092,10,0.0,0
synth_imb_extreme_5d,SpectralClustering,"{""n_clusters"": 15, ""affinity"": ""nearest_neighbors""}",971471268792,0.5550163967662021,0.16634295005851574,1479.561074549176,1.5420354478180394,15,0.0,0
