dataset_id,mean_regret,std_regret,n_runs,best_ami,worst_ami,ami_range,mean_ami,n_algos
synth_blobs_30d_10k,0.0034452619818116093,0.0,79,1.0,0.0,1.0,0.6795633521053028,5
openml_40685,0.003414104273545937,0.0,23,0.635886258422319,0.0096784680954207,0.6262077903268983,0.36105615417765413,3
synth_grid_d5_k10_medoverlap,0.00336710289869524,0.0,79,0.939816968462282,0.0,0.939816968462282,0.5596056610375358,5
synth_blobs_large_20d,0.0033669141521029955,0.0,79,1.0,0.0,1.0,0.6524515879185687,5
synth_grid_d15_k6_highoverlap,0.003333038172291025,0.003333038172291025,79,0.9955835585455568,0.0,0.9955835585455568,0.5861721956673295,5
synth_grid_d30_k6_lowoverlap,0.002937349391913424,0.002937349391913424,79,1.0,0.0,1.0,0.7366798213707754,5
openml_4135,0.0028698027207868003,0.0,24,0.0075009812638942,-6.83741556340776e-05,0.007569355419528277,0.002163930951522512,3
synth_grid_d30_k10_lowoverlap,0.001990411934693792,0.001990411934693792,79,1.0,0.0,1.0,0.7411356960014004,5
synth_blobs_overlap_10d,0.0015430579441751968,0.0,91,1.0,0.0,1.0,0.6895298060124063,6
synth_grid_d30_k10_medoverlap,0.0015304904550688114,0.0,79,1.0,0.0,1.0,0.6700974413156184,5
openml_18,0.0014985645638951883,0.0014985645638951883,73,0.6942443876579246,0.0,0.6942443876579246,0.49456712409751546,5
openml_23381,0.00089445539897135,0.0008417108204906499,77,0.0005722269593919,-0.0032480022319838,0.0038202291913757,-0.0007718850922464011,5
openml_23517,8.953338370630001e-05,0.0,26,0.0005430512955255,-0.000508902689032,0.0010519539845575,0.00016222684707146745,3
openml_1063,7.327173931220843e-05,0.0,77,0.196288386624729,0.0079728307385502,0.1883155558861788,0.09572010411623041,5
synth_imb_moderate_d5,0.0,0.0,79,1.0,0.0,1.0,0.6155934374527928,5
synth_blobs_highd_100,0.0,0.0,91,1.0,0.0,1.0,0.6509113028041206,6
synth_grid_d2_k10_lowoverlap,0.0,0.0,79,0.9553943777511236,0.0,0.9553943777511236,0.701050433858363,5
synth_blobs_5d_k4,0.0,0.0,79,1.0,0.0,1.0,0.7272001233882441,5
synth_imb_one_large_10d,0.0,0.0,91,1.0,-0.0030769277232579,1.0030769277232578,0.6249741968789044,6
openml_22,0.0,0.0,79,0.5951770275256206,0.0,0.5951770275256206,0.2366627328394175,5
synth_imb_extreme_d15,0.0,0.0,79,1.0000000000000002,0.0,1.0000000000000002,0.5066014766841428,5
synth_nested_rings_3,0.0,0.0,79,1.0,-0.0009796138888226,1.0009796138888225,0.3726050599823043,5
synth_grid_d30_k3_medoverlap,0.0,0.0,79,1.0,0.0,1.0,0.6150983604602092,5
synth_elongated_10d,0.0,0.0,91,1.0,0.0,1.0,0.7118993722242776,6
synth_blobs_5d_k12,0.0,0.0,79,0.9952047755111249,0.0,0.9952047755111249,0.708325910560611,5
synth_subspace_2of50,0.0,0.0,79,0.9729362941108513,-0.0009673133743359,0.9739036074851871,0.1443334088535484,5
synth_blobs_well_separated,0.0,0.0,91,1.0,0.0,1.0,0.794979822747456,6
openml_40927,0.0,0.0,26,0.1118386076841646,0.0,0.1118386076841646,0.0477054724108868,3
synth_imb_many_small_d15,0.0,0.0,79,1.0,0.0,1.0,0.5597665572202783,5
synth_blobs_highd_50,0.0,0.0,91,1.0,0.0,1.0,0.6944630634801812,6
synth_circles_n0.10_f0.3,0.0,0.0,91,1.0,-0.0009768380085368,1.0009768380085369,0.43184262998632605,6
synth_density_varying_d5,0.0,0.0,79,0.9719468106827684,0.0,0.9719468106827684,0.6797387283044557,5
synth_subspace_3of100,0.0,0.0,79,0.8858700266445734,-0.0004913367020381,0.8863613633466114,0.13291088497161097,5
openml_14,0.0,0.0,79,0.5975908617461352,0.0,0.5975908617461352,0.26601843671845354,5
synth_varying_density_2d,0.0,0.0,79,0.8294029640009495,-1.7434968734558397e-05,0.829420398969684,0.5088338419031968,5
