dataset_id,rho_predicted,rho_Silhouette,rho_Calinski-Harabasz,rho_Davies-Bouldin (neg),rho_CH Adjusted (Jeon)
synth_ellipsoidal_d10_k5,0.9466790062715366,0.6588648335971978,0.7523956723338484,0.587941617198518,0.5945310905678526
openml_40536,0.703086633626079,-0.29470514237792095,0.4312507147485991,-0.3497503144893836,-0.18304237405515156
synth_uniform_noise_2d,0.755497602573399,0.1867362484198243,0.3210592849502447,-0.4362581439823668,0.23204306672766203
synth_grid_d15_k3_highoverlap,0.9518824846662327,0.5851699882766705,0.7217860518743987,0.55978898007034,0.6373507895896261
synth_blobs_easy_2d,0.8764111687778618,0.647686495791477,-0.49596867535053907,-0.1354724706180876,-0.5289256927301768
synth_grid_d5_k3_highoverlap,0.9371834653128603,-0.14945359396644603,0.22388794828382327,-0.2983838694782207,-0.38862834408914393
openml_41026,0.8770285073752324,-0.6515306122448978,0.5807142857142856,-0.5993877551020408,0.15718050065876152
openml_1468,0.8276089870392533,-0.7279506062484252,0.2812909026251634,-0.660488114670727,-0.35511760511585383
synth_noisy_15pct_d10,0.9437078434219063,0.7163749906199206,0.7364740881367557,0.2721969230311747,0.47779390001763916
synth_blobs_5d_k12,0.8856401894898381,0.49180641900218347,0.6864569108785445,0.36904739458912633,0.6541928114771389
synth_ellipsoidal_d10_k8,0.9749067598924226,0.7559639714457305,0.9062382851395872,0.6626040380977466,0.8492492637026723
synth_moons_plus_blob,0.7958817963662876,0.008779352654960864,-0.2606833086524223,-0.2797757562936324,-0.12308118274748808
synth_subspace_2of50,0.8965277321956022,-0.10719131614654005,0.7932650795608734,-0.39817441717034663,0.43707491018578876
synth_blobs_varying_std,0.666453796878476,0.4118433782937795,0.5549200387001307,0.3334471572477377,0.23185584204995976
openml_4534,0.40090145714991354,-0.11066778197930652,-0.32846644457945556,0.12256112620400099,
openml_6,0.677391304347826,-0.2932986315336404,0.07397739964498347,-0.19043478260869565,
openml_40668,0.6926605504587154,-0.34642857142857136,-0.35357142857142854,0.807142857142857,
synth_blobs_well_separated,0.9644111401392256,0.7786843804190933,0.8266593107030038,0.71286969759336,0.7100877325897754
openml_40927,0.7072088724584104,-0.16785714285714282,0.6392857142857141,0.5535714285714285,
synth_grid_d2_k6_medoverlap,0.963904316144791,-0.44207163275601136,0.6832496576905522,-0.5252828557015542,0.5528946376682176
synth_ellipsoidal_d20_k8,0.9726663280830279,0.5795930518888744,0.7333665984233583,0.5428195181864887,0.6632452361297226
openml_1494,0.8478644884768647,-0.824030404322542,0.34955812995100505,-0.7941297678465131,-0.46870899183694986
openml_1480,0.752463889532198,-0.5050449120216564,0.19429063615110131,-0.7118247815922236,-0.6468408469051329
synth_spirals_3arms_n0.20,0.3588019072349542,0.23139761044734655,-0.045345929424840246,0.7559877743817728,0.2586206896551725
synth_blobs_many_2d,0.010755358649567212,0.43224523102202267,0.7833184910566109,0.1323584456209571,0.7183825783689451
openml_1063,0.6970029648381905,-0.7212478075670258,-0.07187004092541552,-0.602981708844901,-0.7071577811908877
openml_458,0.9028944607850709,-0.35808708363788244,0.6058891093244232,-0.3768403466638823,-0.23019581689909688
openml_40983,0.5914431534033215,-0.5752968173201637,0.55961289035219,-0.8628354783996807,-0.3780008475103609
openml_1457,0.8265081015290209,-0.826482213438735,0.45704874835309617,-0.3014492753623188,0.1236842105263158
synth_grid_d5_k10_medoverlap,0.9732304181278585,0.15443204202232436,0.6778726198292844,0.03103523746990589,0.6584891008125013
openml_40685,0.5622529644268774,-0.40389610389610386,0.14805194805194805,-0.2,
openml_1476,0.3919895722241973,-0.26164345292732566,0.2235092385218365,-0.47669372900335943,
openml_36,0.907665386140238,-0.33798353426449135,0.44646959204547365,-0.5522057713912037,0.2353921010201745
synth_varying_density_2d,0.8469700773482465,-0.04507448342143201,0.09716482460355601,-0.20398846708313315,0.3592608498241743
openml_1466,0.943247743405486,-0.23083337966309003,0.31183632623561464,-0.5687440929560238,0.12194460332406834
openml_1050,0.8193141442772166,-0.7663507240737137,0.09342079662006281,-0.8331596137278778,-0.21613132140541202
openml_1510,0.9166003184713375,-0.19516720213584324,0.9068736141906872,-0.5738268699941174,-0.7153881395610902
synth_grid_d30_k6_medoverlap,0.9760117898405355,0.7496885153787897,0.8840390470881052,0.6818703735372438,0.6296279405773254
synth_varying_density_5d,0.9250917256183695,0.6703056065436511,0.6671335408795501,0.614594403117251,0.7162232526404105
openml_1067,0.4842029102017846,-0.662496258605208,0.09352489274668263,-0.5671954504639329,-0.40620236111530367
synth_subspace_3of100,0.9244634066294715,0.10546441346984088,0.9005797458986061,-0.36622671765141235,0.5290300105196739
openml_23,0.5316615327172359,-0.4803342457859098,0.06708927628103539,-0.37256879412188443,0.29312363294157484
text_20ng_politics,0.8766759964310594,-0.7370218579234973,0.31480532786885246,-0.7058572404371586,0.18520777141451727
openml_38,0.32187741539507075,-0.7166811992756053,0.19310483600509756,-0.49748474076061433,-0.10042836758451375
openml_1515,0.7689428864955481,-0.847758190366183,0.024796963110308396,-0.8362247191520861,0.5500519852933158
